code,description,symptoms,causes
,Mass or Volume Air Flow Circuit Range/Performance Problem,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.), Clogged catalytic converter on some models (GMC/Chevrolet mainly)"
P0101,Mass or Volume Air Flow Circuit Low Input,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms or even no symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.)"
P0102,Mass or Volume Air Flow Circuit High Input,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms or even no symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.)"
P0103,Mass or Volume Air Flow Circuit Malfunction,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms or even no symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.)"
P0100,Mass or Volume Air Flow Circuit Range/Performance Problem,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.), Clogged catalytic converter on some models (GMC/Chevrolet mainly)"
P0101,Mass or Volume Air Flow Circuit Low Input,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms or even no symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.)"
P0102,Mass or Volume Air Flow Circuit High Input,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms or even no symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.)"
P0103,Mass or Volume Air Flow Circuit Intermittent,"Malfunction indicator lamp (MIL) illumination (a.k.a. check engine light), Rough running engine, Black smoke from tail pipe, Stalling, Engine hard start or stalling after it starts, Possible other driveability symptoms or even no symptoms","Dirty or contaminated mass air flow sensor, Failed MAF sensor, Intake air leaks, MAF sensor electrical harness or wiring problem (open, shorted, frayed, poor connection, etc.)"
P0104,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction,"Poor running engine, Engine runs rich, Engine won't idle, Engine backfires through tailpipe, Engine misfire under load or at idle, MIL (Malfunction Indicator Lamp) illumination, In some extreme cases there may be no symptoms other than MIL illumination","MAP sensor vacuum hose disconnected or plugged, Bad MAP sensor, Bad TPS, Damaged or problematic MAP sensor connector, Damaged or problematic TPS connector, Damaged wiring, Short to reference voltage on signal circuit of MAP sensor, Loss of ground to MAP sensor or TPS, Open on signal circuit of MAP sensor, Bad PCM"
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem,"Engine runs rough, Black smoke at tailpipe, Engine will not idle, Poor fuel economy, Engine misses at speed","Bad MAP sensor, Water/dirt intrusion affecting MAP sensor
connector, Intermittent open in the reference, ground, or signal wire for the MAP
sensor, Intermittent short in the reference, ground, or signal wire for the MAP
sensor, Ground problem due to corrosion causing intermittent signal problem, A break in the flexible air intake duct between the MAF and the intake manifold, Bad PCM (do not assume the PCM is bad until you've exhausted all other
possibilities)"
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input,"Hard to start, Long cranking times, Sputtering/missing, Blowing black smoke, Poor fuel economy, Dies intermittently, MIL(Malfunction Indicator Lamp) illumination","Bad MAP sensor, Open or short in the signal circuit, Open or short in the 5 Volt reference circuit, Ground circuit open or shorted, Bad PCM"
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit High Input,"MIL (Malfunction Indicator Lamp) will likely be on, Engine may run poorly, Engine may not run at all, Fuel mileage may decrease, Presence of black smoke at exhaust","Bad MAP sensor, Leak in vacuum supply line to MAP sensor, Engine vacuum leak, Short on signal wire to PCM, Short on reference voltage wire from PCM, Open in ground circuit to MAP, Worn engine causing low vacuum"
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent,"Hesitation on acceleration, General lack of engine performance, Diminished fuel efficiency, Black smoke from exhaust, Excessively rich fuel exhaust fumes","Defective MAP sensor, Open or shorted wiring for the MAP sensor and/or the BPS, Faulty BPS, Corroded connector face at the MAP/BPS sensor, Defective PCM or PCM programming error"
P0109,IAT Circuit Malfunction,"IAT sensor shifted out of airflow, Bad IAT sensor, Shorted to ground or open on signal circuit to IAT, Open in ground circuit to IAT, Poor connection at IAT (backed out terminals, broken connector locks, etc.), Bad PCM","IAT sensor shifted out of airflow, Bad IAT sensor, Shorted to ground or open on signal circuit to IAT, Open in ground circuit to IAT, Poor connection at IAT (backed out terminals, broken connector locks, etc.), Bad PCM"
P0110,Intake Air Temperature Circuit Range/Performance Problem,"a bad IAT sensor, an open in the signal or ground circuit, a short to ground on the signal circuit, poor connection at sensor or PCM","a bad IAT sensor, an open in the signal or ground circuit, a short to ground on the signal circuit, poor connection at sensor or PCM"
P0111,Intake Air Temperature Circuit Low Input,"No reference voltage to the IAT sensor due to an open wire, Excessively high intake air temperatures, Short to ground on signal circuit, Damaged IAT connector, Bad PCM","No reference voltage to the IAT sensor due to an open wire, Excessively high intake air temperatures, Short to ground on signal circuit, Damaged IAT connector, Bad PCM"
P0112,Intake Air Temperature Circuit High Input,"Internally failed IAT sensor, Faulty connection at IAT sensor, Open in IAT ground circuit or signal circuit, Short to voltage in IAT signal circuit or reference circuit, IAT harness and/or wiring routed too close to high-voltage wiring (e.g.
alternator, spark plug cables, etc.), Faulty PCM (less likely but not impossible)","Internally failed IAT sensor, Faulty connection at IAT sensor, Open in IAT ground circuit or signal circuit, Short to voltage in IAT signal circuit or reference circuit, IAT harness and/or wiring routed too close to high-voltage wiring (e.g.
alternator, spark plug cables, etc.), Faulty PCM (less likely but not impossible)"
P0113,Intake Air Temperature Circuit Intermittent,"Slightly diminished fuel efficiency, Decreased engine performance (especially upon cold start), Hesitation or surge at idle or upon light acceleration, Other drivability codes may be stored","Open or shorted IAT sensor wiring and/or connectors, Defective IAT sensor, Faulty MAF sensor, Clogged air filter, Broken intake air inlet pipe"
P0114,Engine Coolant Temperature Circuit Malfunction,"MIL (Malfunction Indicator Lamp) illumination will always occur, Vehicle may be hard to start, May blow a lot of black smoke and run extremely rich, Engine may want to die or backfire in tailpipe, Engine may run lean and increased Nox emissions may be apparent (Requires gas analyzer), Cooling fans may run all the time when they shouldn't be, or not at all when they should be","Wiring or connector damaged at sensor, Open or short in reference or signal circuit, Open or short in signal circuit, Bad PCM"
P0115,Engine Coolant Temperature Circuit Range/Performance Problem,"MIL (Malfunction Indicator Lamp) illumination, Poor drivability, Black smoke at tailpipe, Poor fuel economy, May not idle, May exhibit stalling or misfires","Missing or stuck-open thermostat, Bad ECT sensor, Short or open on signal wire, Short or open on ground wire, Poor connections in wiring"
P0116,Engine Coolant Temperature Circuit Low Input,"MIL (Malfunction Indicator Lamp) illumination, Poor fuel economy, Poor drivability, Engine may run rough or blow black smoke out the tailpipe, May not idle, May start and then die","Bad ECT sensor, Short to ground on ECT signal circuit, Faulty or damaged connectors, Wiring harness damaged, Loose terminals at ECT or PCM, POSSIBLY an overheated engine, Bad PCM"
